nombre,mean,countNonZero,dft mean,
Gradient Y,[0.0304651, 0, 0, 0],1091,[0.299958, 0, 0, 0]
Valor absoluto Gradient Y,[0.333488, 0, 0, 0],486,[0.210793, 0, 0, 0]
Sobel,[0.613188, 0, 0, 0],1354,[0.505103, 0, 0, 0]
EyeROI,[8.49767, 0, 0, 0],2135,[9.69571, 0, 0, 0]
Gradient Y,[-0.0216279, 0, 0, 0],1195,[-0.2017, 0, 0, 0]
Valor absoluto Gradient Y,[0.270698, 0, 0, 0],440,[0.521719, 0, 0, 0]
Sobel,[0.596407, 0, 0, 0],1477,[0.529667, 0, 0, 0]
Gradient Y,[0.239286, 0, 0, 0],1915,[1.26137, 0, 0, 0]
Valor absoluto Gradient Y,[1.99286, 0, 0, 0],1584,[1.90741, 0, 0, 0]
Sobel,[2.96898, 0, 0, 0],2076,[3.55277, 0, 0, 0]
EyeROI,[28.0595, 0, 0, 0],2085,[43.1435, 0, 0, 0]
Gradient Y,[0.117619, 0, 0, 0],1947,[2.56255, 0, 0, 0]
Valor absoluto Gradient Y,[2.6481, 0, 0, 0],1724,[3.45416, 0, 0, 0]
Sobel,[4.14787, 0, 0, 0],2084,[5.65428, 0, 0, 0]
Gradient Y,[0.190698, 0, 0, 0],1923,[-0.173266, 0, 0, 0]
Valor absoluto Gradient Y,[2.05302, 0, 0, 0],1578,[2.43018, 0, 0, 0]
Sobel,[3.09829, 0, 0, 0],2130,[3.73824, 0, 0, 0]
EyeROI,[29.574, 0, 0, 0],2139,[45.9158, 0, 0, 0]
Gradient Y,[0.0927907, 0, 0, 0],1981,[4.14248, 0, 0, 0]
Valor absoluto Gradient Y,[2.51395, 0, 0, 0],1687,[2.67319, 0, 0, 0]
Sobel,[3.92982, 0, 0, 0],2127,[4.49957, 0, 0, 0]
Gradient Y,[0.324524, 0, 0, 0],1934,[-1.20219, 0, 0, 0]
Valor absoluto Gradient Y,[2.51143, 0, 0, 0],1604,[2.86098, 0, 0, 0]
